'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[23:48:00.000 30/03/1989]',0.040,75.697,-0.005,0.051
'[23:48:00.004 30/03/1989]',0.046,75.553,-0.000,0.046
'[23:48:00.008 30/03/1989]',0.050,75.697,0.004,0.043
'[23:48:00.012 30/03/1989]',0.056,75.263,0.015,0.040
'[23:48:00.016 30/03/1989]',0.058,75.263,0.020,0.038
'[23:48:00.020 30/03/1989]',0.058,74.974,0.019,0.033
'[23:48:00.024 30/03/1989]',0.072,75.263,0.015,0.032
'[23:48:00.028 30/03/1989]',0.074,74.974,0.011,0.029
'[23:48:00.032 30/03/1989]',0.068,74.974,0.003,0.026
'[23:48:00.036 30/03/1989]',0.072,74.684,-0.003,0.022
'[23:48:00.040 30/03/1989]',0.086,74.395,-0.009,0.021
'[23:48:00.044 30/03/1989]',0.088,74.395,-0.013,0.018
'[23:48:00.048 30/03/1989]',0.092,74.684,-0.018,0.015
'[23:48:00.052 30/03/1989]',0.102,74.684,-0.021,0.013
'[23:48:00.056 30/03/1989]',0.108,74.395,-0.021,0.011
'[23:48:00.060 30/03/1989]',0.108,75.263,-0.023,0.008
'[23:48:00.064 30/03/1989]',0.112,75.987,-0.025,0.004
'[23:48:00.068 30/03/1989]',0.120,76.421,-0.025,0.002
'[23:48:00.072 30/03/1989]',0.128,77.434,-0.025,-0.000
'[23:48:00.076 30/03/1989]',0.132,78.447,-0.024,-0.003
'[23:48:00.080 30/03/1989]',0.136,80.184,-0.021,-0.005
'[23:48:00.084 30/03/1989]',0.152,81.632,-0.017,-0.008
'[23:48:00.088 30/03/1989]',0.158,83.079,-0.015,-0.011
'[23:48:00.092 30/03/1989]',0.160,84.961,-0.013,-0.013
'[23:48:00.096 30/03/1989]',0.172,86.842,-0.010,-0.016
'[23:48:00.100 30/03/1989]',0.182,89.013,-0.008,-0.017
'[23:48:00.104 30/03/1989]',0.184,90.605,-0.004,-0.021
'[23:48:00.108 30/03/1989]',0.192,92.921,0.001,-0.022
'[23:48:00.112 30/03/1989]',0.208,94.368,0.008,-0.026
'[23:48:00.116 30/03/1989]',0.214,96.974,0.013,-0.027
'[23:48:00.120 30/03/1989]',0.220,98.711,0.017,-0.029
'[23:48:00.124 30/03/1989]',0.232,101.171,0.015,-0.031
'[23:48:00.128 30/03/1989]',0.242,103.197,0.009,-0.032
'[23:48:00.132 30/03/1989]',0.248,105.513,0.004,-0.034
'[23:48:00.136 30/03/1989]',0.258,107.105,-0.005,-0.035
'[23:48:00.140 30/03/1989]',0.256,109.132,-0.010,-0.038
'[23:48:00.144 30/03/1989]',0.264,110.868,-0.016,-0.038
'[23:48:00.148 30/03/1989]',0.262,112.895,-0.023,-0.042
'[23:48:00.152 30/03/1989]',0.260,114.342,-0.029,-0.046
'[23:48:00.156 30/03/1989]',0.256,115.645,-0.031,-0.049
'[23:48:00.160 30/03/1989]',0.240,116.658,-0.032,-0.051
'[23:48:00.164 30/03/1989]',0.224,118.250,-0.035,-0.053
'[23:48:00.168 30/03/1989]',0.214,119.118,-0.033,-0.055
'[23:48:00.172 30/03/1989]',0.180,120.132,-0.031,-0.059
'[23:48:00.176 30/03/1989]',0.150,120.421,-0.030,-0.061
'[23:48:00.180 30/03/1989]',0.122,120.711,-0.030,-0.065
'[23:48:00.184 30/03/1989]',0.096,121.145,-0.029,-0.065
'[23:48:00.188 30/03/1989]',0.066,121.289,-0.027,-0.069
'[23:48:00.192 30/03/1989]',0.036,121.289,-0.026,-0.070
'[23:48:00.196 30/03/1989]',0.018,120.711,-0.021,-0.071
'[23:48:00.200 30/03/1989]',0.002,119.987,-0.011,-0.073
'[23:48:00.204 30/03/1989]',-0.016,119.263,-0.001,-0.076
'[23:48:00.208 30/03/1989]',-0.032,118.684,0.012,-0.077
'[23:48:00.212 30/03/1989]',-0.038,117.961,0.020,-0.078
'[23:48:00.216 30/03/1989]',-0.056,117.092,0.028,-0.080
'[23:48:00.220 30/03/1989]',-0.058,115.645,0.028,-0.081
'[23:48:00.224 30/03/1989]',-0.064,115.211,0.025,-0.083
'[23:48:00.228 30/03/1989]',-0.062,114.053,0.018,-0.084
'[23:48:00.232 30/03/1989]',-0.064,113.184,0.009,-0.086
'[23:48:00.236 30/03/1989]',-0.060,112.171,0.002,-0.088
'[23:48:00.240 30/03/1989]',-0.062,111.013,-0.007,-0.088
'[23:48:00.244 30/03/1989]',-0.064,110.145,-0.014,-0.089
'[23:48:00.248 30/03/1989]',-0.066,109.566,-0.021,-0.092
'[23:48:00.252 30/03/1989]',-0.056,108.408,-0.025,-0.091
'[23:48:00.256 30/03/1989]',-0.056,107.684,-0.028,-0.093
'[23:48:00.260 30/03/1989]',-0.048,106.961,-0.032,-0.095
'[23:48:00.264 30/03/1989]',-0.048,106.092,-0.036,-0.096
'[23:48:00.268 30/03/1989]',-0.046,105.368,-0.034,-0.096
'[23:48:00.272 30/03/1989]',-0.046,104.934,-0.030,-0.099
'[23:48:00.276 30/03/1989]',-0.042,104.066,-0.022,-0.100
'[23:48:00.280 30/03/1989]',-0.040,103.487,-0.014,-0.102
'[23:48:00.284 30/03/1989]',-0.036,102.763,-0.006,-0.102
'[23:48:00.288 30/03/1989]',-0.028,101.895,-0.002,-0.104
'[23:48:00.292 30/03/1989]',-0.028,101.026,0.002,-0.104
'[23:48:00.296 30/03/1989]',-0.024,100.447,0.006,-0.106
'[23:48:00.300 30/03/1989]',-0.024,100.447,0.012,-0.107
'[23:48:00.304 30/03/1989]',-0.030,99.724,0.014,-0.107
'[23:48:00.308 30/03/1989]',-0.020,99.289,0.015,-0.108
'[23:48:00.312 30/03/1989]',-0.012,98.711,0.014,-0.109
'[23:48:00.316 30/03/1989]',-0.014,98.276,0.011,-0.110
'[23:48:00.320 30/03/1989]',-0.010,97.842,0.006,-0.111
'[23:48:00.324 30/03/1989]',-0.002,97.118,0.002,-0.112
'[23:48:00.328 30/03/1989]',-0.000,96.395,-0.004,-0.113
'[23:48:00.332 30/03/1989]',-0.002,96.395,-0.012,-0.115
'[23:48:00.336 30/03/1989]',-0.000,95.671,-0.016,-0.116
'[23:48:00.340 30/03/1989]',-0.000,95.092,-0.021,-0.118
'[23:48:00.344 30/03/1989]',0.006,94.513,-0.024,-0.120
'[23:48:00.348 30/03/1989]',-0.000,93.789,-0.025,-0.121
'[23:48:00.352 30/03/1989]',0.006,93.355,-0.026,-0.123
'[23:48:00.356 30/03/1989]',0.008,92.921,-0.024,-0.124
