'Time and date','ECG','BP','EEG (O2-A1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[00:49:00.000 01/02/1989]',-0.008,109.473,0.008,-0.032
'[00:49:00.004 01/02/1989]',-0.008,109.275,0.009,-0.016
'[00:49:00.008 01/02/1989]',-0.012,109.275,0.023,-0.008
'[00:49:00.012 01/02/1989]',-0.008,109.275,0.010,-0.008
'[00:49:00.016 01/02/1989]',-0.000,108.485,0.010,-0.024
'[00:49:00.020 01/02/1989]',-0.000,108.485,0.014,-0.016
'[00:49:00.024 01/02/1989]',0.006,108.090,0.019,-0.024
'[00:49:00.028 01/02/1989]',0.004,107.695,0.018,-0.032
'[00:49:00.032 01/02/1989]',0.008,107.497,0.007,-0.032
'[00:49:00.036 01/02/1989]',-0.000,107.497,0.018,-0.024
'[00:49:00.040 01/02/1989]',-0.008,106.904,0.010,-0.032
'[00:49:00.044 01/02/1989]',-0.016,106.509,0.019,-0.024
'[00:49:00.048 01/02/1989]',0.008,105.916,0.016,-0.016
'[00:49:00.052 01/02/1989]',-0.006,105.323,0.023,-0.008
'[00:49:00.056 01/02/1989]',0.008,104.928,0.018,-0.000
'[00:49:00.060 01/02/1989]',0.008,104.533,0.018,-0.000
'[00:49:00.064 01/02/1989]',0.032,104.335,0.015,0.016
'[00:49:00.068 01/02/1989]',0.022,103.347,0.021,0.008
'[00:49:00.072 01/02/1989]',0.036,102.952,0.036,-0.000
'[00:49:00.076 01/02/1989]',0.040,102.359,0.018,-0.024
'[00:49:00.080 01/02/1989]',0.028,101.964,0.023,-0.008
'[00:49:00.084 01/02/1989]',0.104,101.371,0.012,-0.032
'[00:49:00.088 01/02/1989]',0.216,100.778,0.027,-0.000
'[00:49:00.092 01/02/1989]',0.384,100.383,0.032,-0.024
'[00:49:00.096 01/02/1989]',0.632,99.988,0.029,-0.008
'[00:49:00.100 01/02/1989]',0.864,99.198,0.023,0.008
'[00:49:00.104 01/02/1989]',0.654,99.395,0.019,-0.024
'[00:49:00.108 01/02/1989]',0.536,98.210,0.017,0.008
'[00:49:00.112 01/02/1989]',0.138,98.012,0.010,-0.000
'[00:49:00.116 01/02/1989]',-0.292,97.419,0.007,-0.032
'[00:49:00.120 01/02/1989]',-0.376,97.024,0.016,0.024
'[00:49:00.124 01/02/1989]',-0.448,96.431,0.017,0.016
'[00:49:00.128 01/02/1989]',-0.378,95.838,0.018,-0.032
'[00:49:00.132 01/02/1989]',-0.186,95.641,0.017,-0.032
