sample interval	    ECG	     BP	(C3-O1)	(nasal)
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)
              0	  0.040	 75.697	 -0.005	  0.051
              1	  0.046	 75.553	 -0.000	  0.046
              2	  0.050	 75.697	  0.004	  0.043
              3	  0.056	 75.263	  0.015	  0.040
              4	  0.058	 75.263	  0.020	  0.038
              5	  0.058	 74.974	  0.019	  0.033
              6	  0.072	 75.263	  0.015	  0.032
              7	  0.074	 74.974	  0.011	  0.029
              8	  0.068	 74.974	  0.003	  0.026
              9	  0.072	 74.684	 -0.003	  0.022
             10	  0.086	 74.395	 -0.009	  0.021
             11	  0.088	 74.395	 -0.013	  0.018
             12	  0.092	 74.684	 -0.018	  0.015
             13	  0.102	 74.684	 -0.021	  0.013
             14	  0.108	 74.395	 -0.021	  0.011
             15	  0.108	 75.263	 -0.023	  0.008
             16	  0.112	 75.987	 -0.025	  0.004
             17	  0.120	 76.421	 -0.025	  0.002
             18	  0.128	 77.434	 -0.025	 -0.000
             19	  0.132	 78.447	 -0.024	 -0.003
             20	  0.136	 80.184	 -0.021	 -0.005
             21	  0.152	 81.632	 -0.017	 -0.008
             22	  0.158	 83.079	 -0.015	 -0.011
             23	  0.160	 84.961	 -0.013	 -0.013
             24	  0.172	 86.842	 -0.010	 -0.016
             25	  0.182	 89.013	 -0.008	 -0.017
             26	  0.184	 90.605	 -0.004	 -0.021
             27	  0.192	 92.921	  0.001	 -0.022
             28	  0.208	 94.368	  0.008	 -0.026
             29	  0.214	 96.974	  0.013	 -0.027
             30	  0.220	 98.711	  0.017	 -0.029
             31	  0.232	101.171	  0.015	 -0.031
             32	  0.242	103.197	  0.009	 -0.032
             33	  0.248	105.513	  0.004	 -0.034
             34	  0.258	107.105	 -0.005	 -0.035
             35	  0.256	109.132	 -0.010	 -0.038
             36	  0.264	110.868	 -0.016	 -0.038
             37	  0.262	112.895	 -0.023	 -0.042
             38	  0.260	114.342	 -0.029	 -0.046
             39	  0.256	115.645	 -0.031	 -0.049
             40	  0.240	116.658	 -0.032	 -0.051
             41	  0.224	118.250	 -0.035	 -0.053
             42	  0.214	119.118	 -0.033	 -0.055
             43	  0.180	120.132	 -0.031	 -0.059
             44	  0.150	120.421	 -0.030	 -0.061
             45	  0.122	120.711	 -0.030	 -0.065
             46	  0.096	121.145	 -0.029	 -0.065
             47	  0.066	121.289	 -0.027	 -0.069
             48	  0.036	121.289	 -0.026	 -0.070
