sample interval	    ECG	     BP	(C3-O1)	(nasal)
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)
              0	 -0.176	 90.106	  0.021	 -0.346
              1	 -0.172	 89.511	  0.023	 -0.346
              2	 -0.186	 89.511	  0.022	 -0.345
              3	 -0.174	 88.915	  0.024	 -0.344
              4	 -0.156	 88.617	  0.019	 -0.347
              5	 -0.148	 88.468	  0.015	 -0.344
              6	 -0.160	 88.170	  0.014	 -0.349
              7	 -0.136	 88.021	  0.010	 -0.344
              8	 -0.162	 88.021	  0.010	 -0.342
              9	 -0.152	 87.723	  0.015	 -0.345
             10	 -0.170	 87.723	  0.011	 -0.346
             11	 -0.168	 87.425	  0.014	 -0.345
             12	 -0.192	 87.128	  0.016	 -0.347
             13	 -0.186	 86.681	  0.018	 -0.347
             14	 -0.148	 86.532	  0.022	 -0.346
             15	 -0.016	 86.085	  0.026	 -0.347
             16	  0.112	 86.085	  0.023	 -0.349
             17	  0.344	 86.383	  0.023	 -0.352
             18	  0.666	 86.085	  0.027	 -0.354
             19	  0.974	 85.936	  0.028	 -0.354
             20	  1.264	 85.340	  0.027	 -0.357
             21	  1.336	 85.340	  0.023	 -0.357
             22	  1.082	 85.191	  0.027	 -0.359
             23	  0.652	 85.042	  0.024	 -0.360
             24	  0.128	 84.745	  0.022	 -0.359
             25	 -0.294	 84.149	  0.018	 -0.357
             26	 -0.560	 83.702	  0.015	 -0.358
             27	 -0.624	 84.149	  0.011	 -0.360
             28	 -0.616	 84.000	  0.015	 -0.360
             29	 -0.544	 83.702	  0.018	 -0.362
             30	 -0.432	 83.404	  0.018	 -0.360
             31	 -0.302	 83.255	  0.016	 -0.360
             32	 -0.222	 82.957	  0.017	 -0.357
             33	 -0.184	 82.957	  0.019	 -0.357
             34	 -0.160	 82.957	  0.017	 -0.358
             35	 -0.172	 82.808	  0.023	 -0.357
             36	 -0.134	 82.660	  0.022	 -0.359
             37	 -0.148	 82.808	  0.021	 -0.358
             38	 -0.120	 82.362	  0.022	 -0.362
             39	 -0.108	 82.362	  0.023	 -0.362
             40	 -0.104	 82.362	  0.023	 -0.366
             41	 -0.096	 82.213	  0.022	 -0.365
             42	 -0.094	 81.766	  0.017	 -0.367
             43	 -0.088	 81.766	  0.011	 -0.363
             44	 -0.062	 81.766	  0.015	 -0.365
             45	 -0.064	 81.617	  0.013	 -0.363
             46	 -0.048	 81.766	  0.017	 -0.366
             47	 -0.064	 81.319	  0.016	 -0.370
             48	 -0.044	 81.468	  0.023	 -0.369
             49	 -0.042	 81.170	  0.023	 -0.373
             50	 -0.034	 81.021	  0.023	 -0.375
             51	 -0.028	 80.872	  0.023	 -0.375
             52	 -0.016	 80.574	  0.021	 -0.375
             53	 -0.014	 80.574	  0.016	 -0.376
             54	 -0.006	 80.425	  0.017	 -0.375
             55	  0.008	 80.128	  0.017	 -0.372
             56	  0.020	 80.574	  0.014	 -0.372
             57	  0.028	 81.021	  0.013	 -0.372
             58	  0.048	 81.766	  0.013	 -0.374
             59	  0.074	 82.957	  0.014	 -0.372
             60	  0.068	 84.447	  0.008	 -0.372
             61	  0.112	 86.681	  0.015	 -0.372
             62	  0.094	 88.915	  0.009	 -0.372
             63	  0.124	 90.702	  0.010	 -0.371
             64	  0.152	 93.532	  0.014	 -0.372
             65	  0.176	 96.213	  0.017	 -0.376
             66	  0.192	 98.000	  0.015	 -0.378
             67	  0.198	100.830	  0.018	 -0.380
             68	  0.218	103.362	  0.016	 -0.381
             69	  0.216	106.489	  0.021	 -0.378
             70	  0.254	109.617	  0.017	 -0.376
             71	  0.264	112.447	  0.020	 -0.375
             72	  0.276	115.425	  0.020	 -0.373
             73	  0.284	118.106	  0.025	 -0.372
             74	  0.302	120.787	  0.021	 -0.370
             75	  0.320	123.766	  0.018	 -0.372
             76	  0.320	126.149	  0.014	 -0.369
             77	  0.302	128.383	  0.012	 -0.371
             78	  0.326	130.617	  0.010	 -0.370
             79	  0.308	132.106	  0.011	 -0.367
             80	  0.304	133.149	  0.016	 -0.369
             81	  0.264	135.085	  0.016	 -0.372
             82	  0.232	135.681	  0.021	 -0.372
             83	  0.222	136.277	  0.016	 -0.373
             84	  0.192	135.979	  0.016	 -0.372
             85	  0.164	135.979	  0.011	 -0.377
             86	  0.130	135.681	  0.014	 -0.378
             87	  0.048	135.234	  0.014	 -0.375
             88	  0.018	134.191	  0.014	 -0.373
             89	 -0.014	133.596	  0.020	 -0.375
             90	 -0.062	132.851	  0.018	 -0.377
             91	 -0.084	131.957	  0.015	 -0.372
             92	 -0.100	131.064	  0.013	 -0.376
             93	 -0.156	129.425	  0.012	 -0.375
             94	 -0.162	128.234	  0.015	 -0.372
             95	 -0.168	127.042	  0.018	 -0.372
             96	 -0.216	125.851	  0.018	 -0.371
             97	 -0.188	124.659	  0.026	 -0.372
             98	 -0.222	123.468	  0.021	 -0.370
             99	 -0.182	121.979	  0.024	 -0.370
            100	 -0.202	121.085	  0.020	 -0.366
            101	 -0.196	119.894	  0.023	 -0.372
            102	 -0.200	119.298	  0.013	 -0.367
            103	 -0.180	118.106	  0.017	 -0.369
            104	 -0.156	116.617	  0.011	 -0.368
            105	 -0.192	115.723	  0.017	 -0.363
            106	 -0.172	114.532	  0.017	 -0.365
            107	 -0.176	113.489	  0.024	 -0.358
            108	 -0.164	112.745	  0.023	 -0.354
            109	 -0.146	111.404	  0.029	 -0.354
            110	 -0.168	110.660	  0.025	 -0.352
            111	 -0.152	109.617	  0.026	 -0.351
            112	 -0.172	108.574	  0.020	 -0.352
            113	 -0.164	107.383	  0.022	 -0.353
            114	 -0.164	106.191	  0.016	 -0.356
