              0	  0.218	133.976	 -0.014	 -0.565
              1	  0.218	136.347	 -0.013	 -0.565
              2	  0.212	137.730	 -0.015	 -0.532
              3	  0.214	139.311	 -0.014	 -0.581
              4	  0.212	140.497	 -0.015	 -0.524
              5	  0.200	140.892	 -0.014	 -0.508
              6	  0.192	142.275	 -0.013	 -0.540
              7	  0.180	142.868	 -0.011	 -0.565
              8	  0.156	142.868	 -0.008	 -0.540
              9	  0.144	141.880	 -0.008	 -0.581
             10	  0.126	142.275	 -0.008	 -0.548
             11	  0.114	141.683	 -0.009	 -0.613
             12	  0.096	140.892	 -0.007	 -0.605
             13	  0.078	139.904	 -0.005	 -0.605
             14	  0.060	139.311	 -0.005	 -0.605
             15	  0.058	137.928	 -0.003	 -0.605
             16	  0.040	137.533	 -0.003	 -0.548
             17	  0.026	136.347	 -0.001	 -0.565
             18	  0.022	134.569	 -0.000	 -0.565
             19	  0.018	134.174	  0.002	 -0.565
             20	  0.008	133.186	  0.000	 -0.581
             21	  0.006	132.198	  0.001	 -0.589
             22	 -0.000	131.407	  0.003	 -0.589
             23	 -0.000	130.024	  0.003	 -0.605
             24	  0.006	129.826	  0.002	 -0.613
             25	  0.008	129.233	  0.002	 -0.613
             26	  0.002	128.245	  0.001	 -0.613
             27	  0.008	127.455	  0.003	 -0.589
             28	 -0.000	126.862	  0.003	 -0.589
             29	  0.010	126.862	  0.003	 -0.581
             30	  0.010	126.269	  0.000	 -0.581
             31	  0.022	125.677	  0.001	 -0.565
             32	  0.018	125.874	  0.000	 -0.581
             33	  0.012	125.874	  0.001	 -0.581
             34	  0.018	125.084	 -0.000	 -0.613
             35	  0.024	124.689	 -0.001	 -0.597
             36	  0.024	124.689	 -0.005	 -0.605
             37	  0.028	124.491	 -0.004	 -0.581
             38	  0.034	123.898	 -0.005	 -0.613
             39	  0.032	123.701	 -0.005	 -0.589
             40	  0.032	123.503	 -0.006	 -0.581
             41	  0.034	123.108	 -0.007	 -0.565
             42	  0.032	122.910	 -0.004	 -0.581
             43	  0.034	122.317	 -0.004	 -0.581
             44	  0.034	121.922	 -0.002	 -0.597
             45	  0.040	120.934	 -0.002	 -0.565
             46	  0.040	120.341	 -0.000	 -0.581
             47	  0.040	119.353	  0.000	 -0.613
             48	  0.042	118.365	  0.003	 -0.629
             49	  0.040	117.772	  0.003	 -0.613
             50	  0.040	116.389	  0.004	 -0.597
             51	  0.044	114.808	  0.004	 -0.637
             52	  0.042	114.215	  0.004	 -0.613
             53	  0.032	113.030	  0.005	 -0.581
             54	  0.038	111.844	  0.005	 -0.621
             55	  0.038	111.054	  0.004	 -0.645
             56	  0.040	109.275	  0.003	 -0.605
             57	  0.040	109.275	  0.003	 -0.621
             58	  0.044	108.287	  0.003	 -0.637
             59	  0.042	106.904	  0.005	 -0.653
             60	  0.048	106.114	  0.003	 -0.653
             61	  0.040	105.916	  0.003	 -0.685
             62	  0.044	105.521	  0.003	 -0.613
             63	  0.042	105.126	  0.003	 -0.653
             64	  0.040	104.928	  0.003	 -0.645
             65	  0.052	104.928	  0.001	 -0.637
             66	  0.054	104.335	 -0.000	 -0.669
             67	  0.050	104.730	  0.000	 -0.621
             68	  0.064	104.928	 -0.000	 -0.653
             69	  0.082	104.928	 -0.000	 -0.629
             70	  0.096	105.323	  0.001	 -0.637
             71	  0.112	105.521	  0.000	 -0.685
             72	  0.112	106.114	  0.002	 -0.685
             73	  0.126	105.916	  0.002	 -0.677
             74	  0.140	106.707	  0.003	 -0.702
             75	  0.152	106.904	  0.003	 -0.677
             76	  0.172	107.299	  0.003	 -0.653
             77	  0.168	107.299	  0.005	 -0.645
             78	  0.160	107.695	  0.007	 -0.653
             79	  0.160	107.695	  0.005	 -0.677
             80	  0.176	107.497	  0.004	 -0.645
             81	  0.178	107.497	  0.006	 -0.613
             82	  0.178	108.287	  0.006	 -0.669
             83	  0.160	107.299	  0.009	 -0.694
             84	  0.146	108.287	  0.009	 -0.710
             85	  0.124	107.892	  0.012	 -0.685
             86	  0.102	107.695	  0.011	 -0.702
             87	  0.072	107.695	  0.012	 -0.685
             88	  0.046	107.497	  0.013	 -0.677
             89	  0.032	107.299	  0.013	 -0.669
             90	  0.014	106.509	  0.012	 -0.661
             91	  0.010	106.114	  0.012	 -0.621
             92	  0.002	106.114	  0.013	 -0.629
             93	 -0.000	105.521	  0.013	 -0.637
             94	 -0.006	105.718	  0.012	 -0.661
             95	  0.006	105.126	  0.011	 -0.661
             96	 -0.000	104.533	  0.011	 -0.718
             97	  0.002	103.940	  0.010	 -0.694
             98	 -0.000	103.742	  0.010	 -0.694
             99	  0.008	103.545	  0.007	 -0.685
            100	  0.012	102.952	  0.007	 -0.669
            101	  0.012	102.952	  0.006	 -0.677
