'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[00:05:30.000 26/02/1989]',0.416,140.808,0.039,0.048
'[00:05:30.004 26/02/1989]',0.410,144.038,0.039,0.047
'[00:05:30.008 26/02/1989]',0.406,146.192,0.025,0.047
'[00:05:30.012 26/02/1989]',0.398,149.423,0.016,0.047
'[00:05:30.016 26/02/1989]',0.400,151.846,0.007,0.050
'[00:05:30.020 26/02/1989]',0.386,154.538,0.009,0.047
'[00:05:30.024 26/02/1989]',0.370,155.884,0.010,0.044
'[00:05:30.028 26/02/1989]',0.350,156.961,-0.008,0.045
'[00:05:30.032 26/02/1989]',0.336,158.308,0.020,0.046
'[00:05:30.036 26/02/1989]',0.320,158.846,0.006,0.047
'[00:05:30.040 26/02/1989]',0.310,158.846,0.014,0.046
'[00:05:30.044 26/02/1989]',0.296,158.038,0.013,0.043
'[00:05:30.048 26/02/1989]',0.286,158.038,-0.015,0.044
'[00:05:30.052 26/02/1989]',0.262,158.577,-0.019,0.046
'[00:05:30.056 26/02/1989]',0.244,156.692,-0.023,0.045
'[00:05:30.060 26/02/1989]',0.226,155.346,-0.009,0.045
'[00:05:30.064 26/02/1989]',0.212,154.808,-0.023,0.045
'[00:05:30.068 26/02/1989]',0.176,153.731,-0.017,0.043
'[00:05:30.072 26/02/1989]',0.154,152.923,-0.012,0.043
'[00:05:30.076 26/02/1989]',0.114,150.500,-0.017,0.047
'[00:05:30.080 26/02/1989]',0.082,148.884,-0.005,0.047
'[00:05:30.084 26/02/1989]',0.048,148.077,-0.005,0.046
'[00:05:30.088 26/02/1989]',0.024,147.269,0.003,0.045
'[00:05:30.092 26/02/1989]',-0.004,145.923,0.020,0.047
'[00:05:30.096 26/02/1989]',-0.014,143.500,0.015,0.047
'[00:05:30.100 26/02/1989]',-0.048,142.423,0.022,0.046
'[00:05:30.104 26/02/1989]',-0.048,141.346,0.022,0.049
